Survived,Pclass,Title,Sex,Age,Fare,Cabin,Embarked
0,3,Mr.,male,32,15.85,Unknown,Southampton
1,3,Mr.,male,26,18.7875,Unknown,Cherbourg
1,3,Miss,female,16,7.75,Unknown,Queenstown
1,1,Mr.,male,40,31,A,Cherbourg
0,3,Mr.,male,24,7.05,Unknown,Southampton
1,2,Miss,female,35,21,Unknown,Southampton
0,3,Mr.,male,22,7.25,Unknown,Southampton
0,2,Mr.,male,30,13,Unknown,Southampton
0,3,Mr.,male,40,7.75,Unknown,Queenstown
1,1,Miss,female,31,113.275,D,Cherbourg
1,3,Miss,female,27,7.925,Unknown,Southampton
0,2,Mr.,male,42,27,Unknown,Southampton
1,1,Miss,female,32,76.2917,D,Cherbourg
0,2,Mr.,male,30,10.5,Unknown,Southampton
1,3,Mr.,male,16,8.05,Unknown,Southampton
0,2,Mr.,male,27,13,Unknown,Southampton
0,3,Mr.,male,51,8.05,Unknown,Southampton
0,3,Mr.,male,37,7.8958,Unknown,Southampton
1,1,Mr.,male,38,90,C,Southampton
0,3,Mr.,male,22,9.35,Unknown,Southampton
1,2,Mr.,male,19,10.5,Unknown,Southampton
0,3,Mr.,male,29,7.25,Unknown,Southampton
0,2,Mr.,male,18,13,Unknown,Southampton
0,3,Miss,female,39,25.4667,Unknown,Southampton
1,1,Mrs.,female,35,83.475,C,Southampton
0,3,Mr.,male,29,7.775,Unknown,Southampton
0,2,Mr.,male,59,13.5,Unknown,Southampton
1,3,Miss,female,5,31.3875,Unknown,Southampton
0,2,Mr.,male,24,10.5,Unknown,Southampton
0,3,Miss,female,40,7.55,Unknown,Southampton
0,2,Mr.,male,44,26,Unknown,Southampton
1,2,Miss,female,8,26.25,Unknown,Southampton
0,2,Mr.,male,19,10.5,Unknown,Southampton
0,2,Mr.,male,33,12.275,Unknown,Southampton
0,3,Miss,female,28,14.4542,Unknown,Cherbourg
1,3,Miss,female,33,15.5,Unknown,Queenstown
0,2,Mr.,male,29,10.5,Unknown,Southampton
0,3,Mr.,male,22,7.125,Unknown,Southampton
0,3,Mr.,male,30,7.225,Unknown,Cherbourg
0,1,Doctor,male,44,90,C,Queenstown
0,3,Miss,female,25,7.775,Unknown,Southampton
1,2,Mrs.,female,24,14.5,Unknown,Southampton
1,1,Mr.,male,37,52.5542,D,Southampton
0,2,Reverend,male,54,26,Unknown,Southampton
0,3,Mr.,male,24,7.25,Unknown,Southampton
0,3,Mrs.,female,29,10.4625,G,Southampton
0,1,Mr.,male,62,26.55,C,Southampton
0,3,Mr.,male,30,16.1,Unknown,Southampton
0,3,Mrs.,female,41,20.2125,Unknown,Southampton
1,3,Mrs.,female,29,15.2458,Unknown,Cherbourg
1,1,Mrs.,female,40,79.2,Unknown,Cherbourg
1,1,Miss,female,30,86.5,B,Southampton
1,1,Miss,female,35,512.3292,Unknown,Cherbourg
1,2,Mrs.,female,50,26,Unknown,Southampton
0,3,Mr.,male,37,7.75,Unknown,Queenstown
1,3,Master,male,3,31.3875,Unknown,Southampton
0,1,Mr.,male,52,79.65,E,Southampton
0,1,Mr.,male,40,0,B,Southampton
0,3,Miss,female,28,7.75,Unknown,Queenstown
0,2,Mr.,male,36,10.5,Unknown,Southampton
0,3,Mr.,male,16,39.6875,Unknown,Southampton
1,3,Mr.,male,25,7.775,Unknown,Southampton
1,1,Mrs.,female,58,153.4625,C,Southampton
1,1,Miss,female,35,135.6333,C,Southampton
0,1,Mr.,male,35,31,Unknown,Southampton
1,3,Mr.,male,25,0,Unknown,Southampton
1,2,Mrs.,female,41,19.5,Unknown,Southampton
0,1,Mr.,male,37,29.7,C,Cherbourg
1,3,Miss,female,32,7.75,Unknown,Queenstown
1,1,Miss,female,63,77.9583,D,Southampton
0,3,Miss,female,45,7.75,Unknown,Southampton
0,2,Mr.,male,35,0,Unknown,Southampton
0,3,Master,male,7,29.125,Unknown,Queenstown
1,3,Mrs.,female,35,20.25,Unknown,Southampton
0,3,Mr.,male,65,7.75,Unknown,Queenstown
0,3,Mr.,male,28,7.8542,Unknown,Southampton
0,3,Mr.,male,16,9.5,Unknown,Southampton
1,3,Mr.,male,19,8.05,Unknown,Southampton
0,1,Mr.,male,42,26,A,Southampton
0,3,Mr.,male,33,8.6625,Unknown,Cherbourg
1,3,Mr.,male,30,9.5,Unknown,Southampton
0,3,Mr.,male,22,7.8958,Unknown,Southampton
1,2,Mr.,male,42,13,Unknown,Southampton
1,3,Miss,female,22,7.75,Unknown,Queenstown
1,1,Miss,female,26,78.85,Unknown,Southampton
1,1,Mrs.,female,19,91.0792,B,Cherbourg
0,2,Mr.,male,36,12.875,D,Cherbourg
0,3,Miss,female,24,8.85,Unknown,Southampton
0,3,Mr.,male,24,7.8958,Unknown,Southampton
0,1,Mr.,male,20,27.7208,Unknown,Cherbourg
0,3,Mr.,male,19,7.2292,Unknown,Cherbourg
0,1,Miss,female,2,151.55,C,Southampton
1,1,Mr.,male,41,30.5,C,Southampton
1,1,Mrs.,female,50,247.5208,B,Cherbourg
1,3,Miss,female,42,7.75,Unknown,Queenstown
1,3,Mr.,male,43,23.25,Unknown,Queenstown
0,3,Mr.,male,19,0,Unknown,Southampton
1,2,Miss,female,25,12.35,E,Queenstown
0,3,Mr.,male,34,8.05,Unknown,Southampton
1,1,Master,male,29,151.55,C,Southampton
1,1,Miss,female,32,110.8833,Unknown,Cherbourg
1,1,Mrs.,female,17,108.9,C,Cherbourg
0,2,Mr.,male,30,24,Unknown,Cherbourg
1,1,Miss,female,30,56.9292,E,Cherbourg
1,1,Miss,female,24,83.1583,C,Cherbourg
1,1,Miss,female,18,262.375,B,Cherbourg
0,2,Mrs.,female,26,26,Unknown,Southampton
0,3,Mr.,male,28,7.8958,Unknown,Southampton
0,2,Mr.,male,43,26.25,Unknown,Southampton
1,3,Miss,female,26,7.8542,Unknown,Southampton
1,2,Mrs.,female,24,26,Unknown,Southampton
0,2,Doctor,male,54,14,Unknown,Southampton
1,1,Miss,female,31,164.8667,C,Southampton
1,1,Mrs.,female,40,134.5,E,Cherbourg
0,3,Mr.,male,22,7.25,Unknown,Southampton
0,3,Mr.,male,27,7.8958,Unknown,Southampton
1,2,Miss,female,30,12.35,Unknown,Queenstown
1,2,Mrs.,female,22,29,Unknown,Southampton
0,3,Mr.,male,37,69.55,Unknown,Southampton
1,1,Miss,female,36,135.6333,C,Cherbourg
0,3,Mr.,male,61,6.2375,Unknown,Southampton
1,2,Mrs.,female,36,13,D,Southampton
1,3,Mrs.,female,31,20.525,Unknown,Southampton
1,1,Miss,female,16,57.9792,B,Cherbourg
1,3,Miss,female,19,23.25,Unknown,Queenstown
0,1,Mr.,male,31,28.5,C,Southampton
0,1,Mr.,male,38,153.4625,C,Southampton
0,3,Mr.,male,16,18,Unknown,Southampton
1,1,Mrs.,female,33,133.65,Unknown,Southampton
0,3,Mr.,male,24,7.8958,Unknown,Southampton
0,1,Mr.,male,29,66.6,C,Southampton
1,1,Miss,female,41,134.5,E,Cherbourg
1,3,Mr.,male,45,8.05,Unknown,Southampton
0,1,Mr.,male,45,35.5,T,Southampton
1,2,Master,male,2,26,F,Southampton
1,1,Miss,female,24,263,C,Southampton
0,2,Mr.,male,28,13,Unknown,Southampton
0,2,Mr.,male,25,13,Unknown,Southampton
0,2,Mr.,male,36,13,Unknown,Southampton
1,2,Miss,female,24,13,F,Southampton
1,2,Miss,female,40,13,Unknown,Southampton
1,3,Mrs.,female,31,16.1,Unknown,Southampton
1,3,Master,male,3,15.9,Unknown,Southampton
0,3,Mr.,male,42,8.6625,Unknown,Southampton
0,3,Mr.,male,23,9.225,Unknown,Southampton
0,1,Mr.,male,36,35,C,Southampton
0,3,Mr.,male,15,7.2292,Unknown,Cherbourg
0,3,Mr.,male,25,17.8,Unknown,Southampton
0,3,Mr.,male,18,7.225,Unknown,Cherbourg
0,3,Mr.,male,28,9.5,Unknown,Southampton
1,1,Miss,female,22,55,E,Southampton
0,2,Miss,female,38,13,Unknown,Southampton
1,3,Miss,female,20,7.8792,Unknown,Queenstown
1,3,Miss,female,25,7.8792,Unknown,Queenstown
0,3,Mr.,male,40,27.9,Unknown,Southampton
0,2,Mr.,male,29,27.7208,Unknown,Cherbourg
0,3,Mrs.,female,45,14.4542,Unknown,Cherbourg
0,3,Mr.,male,35,7.05,Unknown,Southampton
0,3,Mr.,male,31,15.5,Unknown,Queenstown
0,3,Mr.,male,30,7.25,Unknown,Southampton
1,1,Mrs.,female,60,75.25,D,Cherbourg
1,3,Mrs.,female,28,7.2292,Unknown,Cherbourg
1,3,Miss,female,38,7.75,Unknown,Queenstown
1,1,Mrs.,female,24,69.3,B,Cherbourg
1,1,Mr.,male,25,55.4417,E,Cherbourg
0,3,Mr.,male,18,6.4958,Unknown,Southampton
0,3,Mr.,male,19,8.05,Unknown,Southampton
0,1,Mr.,male,22,135.6333,Unknown,Cherbourg
0,3,Miss,female,3,21.075,Unknown,Southampton
1,1,Mrs.,female,37,82.1708,Unknown,Cherbourg
1,3,Miss,female,22,7.25,Unknown,Southampton
0,1,Mr.,male,27,211.5,C,Cherbourg
0,3,Mr.,male,20,4.0125,Unknown,Cherbourg
0,3,Mr.,male,19,7.775,Unknown,Southampton
1,1,Miss,female,42,227.525,Unknown,Cherbourg
1,3,Miss,female,1,15.7417,Unknown,Cherbourg
0,3,Mr.,male,32,7.925,Unknown,Southampton
1,1,Mrs.,female,35,52,Unknown,Southampton
0,3,Mr.,male,29,7.8958,Unknown,Southampton
0,2,Mr.,male,18,73.5,Unknown,Southampton
0,3,Master,male,1,46.9,Unknown,Southampton
1,2,Miss,female,36,13,Unknown,Southampton
0,3,Mr.,male,22,7.7292,Unknown,Queenstown
1,2,Miss,female,17,12,Unknown,Cherbourg
1,1,Mr.,male,36,120,B,Southampton
1,3,Mr.,male,21,7.7958,Unknown,Southampton
0,3,Mr.,male,28,7.925,Unknown,Southampton
1,1,Miss,female,23,113.275,D,Cherbourg
1,3,Mrs.,female,24,16.7,G,Southampton
0,3,Mr.,male,22,7.7958,Unknown,Southampton
0,3,Miss,female,31,7.8542,Unknown,Southampton
0,2,Mr.,male,46,26,Unknown,Southampton
0,2,Doctor,male,23,10.5,Unknown,Southampton
1,2,Mrs.,female,28,12.65,Unknown,Southampton
1,3,Mr.,male,39,7.925,Unknown,Southampton
0,3,Mr.,male,26,8.05,Unknown,Southampton
0,3,Miss,female,21,9.825,Unknown,Southampton
0,3,Mr.,male,28,15.85,Unknown,Southampton
0,3,Miss,female,20,8.6625,Unknown,Southampton
0,2,Mr.,male,34,21,Unknown,Southampton
0,3,Mr.,male,51,7.75,Unknown,Southampton
1,2,Master,male,3,18.75,Unknown,Southampton
0,3,Mr.,male,21,7.775,Unknown,Southampton
0,3,Miss,female,27,25.4667,Unknown,Southampton
0,3,Mr.,male,34,7.8958,Unknown,Southampton
0,3,Mr.,male,22,6.8583,Unknown,Queenstown
1,1,Miss,female,33,90,C,Queenstown
0,2,Mr.,male,25,0,Unknown,Southampton
1,3,Mr.,male,44,7.925,Unknown,Southampton
0,3,Mrs.,female,37,8.05,Unknown,Southampton
1,2,Mrs.,female,34,32.5,Unknown,Southampton
1,2,Miss,female,18,13,Unknown,Southampton
0,2,Mr.,male,30,13,Unknown,Southampton
0,3,Miss,female,10,24.15,Unknown,Southampton
0,3,Mr.,male,29,7.8958,Unknown,Cherbourg
0,3,Mr.,male,21,7.7333,Unknown,Queenstown
0,3,Mr.,male,29,7.875,Unknown,Southampton
0,3,Mrs.,female,28,14.4,Unknown,Southampton
0,3,Mr.,male,18,20.2125,Unknown,Southampton
0,3,Mr.,male,29,7.25,Unknown,Southampton
1,2,Mrs.,female,28,26,Unknown,Southampton
1,2,Miss,female,19,26,Unknown,Southampton
0,3,Mr.,male,42,7.75,Unknown,Queenstown
1,3,Mr.,male,32,8.05,E,Southampton
1,1,Mr.,male,28,26.55,C,Southampton
1,3,Mrs.,female,19,16.1,Unknown,Southampton
1,2,Mrs.,female,42,26,Unknown,Southampton
0,3,Mr.,male,17,7.125,Unknown,Southampton
0,1,Mr.,male,50,55.9,E,Southampton
1,1,Miss,female,14,120,B,Southampton
0,3,Miss,female,21,34.375,Unknown,Southampton
1,2,Mrs.,female,24,18.75,Unknown,Southampton
0,1,Mr.,male,64,263,C,Southampton
0,2,Mr.,male,31,10.5,Unknown,Southampton
1,2,Mrs.,female,45,26.25,Unknown,Southampton
0,3,Mr.,male,20,9.5,Unknown,Southampton
0,3,Mr.,male,25,7.775,Unknown,Southampton
1,2,Miss,female,28,13,Unknown,Southampton
1,3,Mr.,male,22,8.1125,Unknown,Southampton
1,1,Master,male,4,81.8583,A,Southampton
1,2,Miss,female,13,19.5,Unknown,Southampton
1,1,Mr.,male,34,26.55,Unknown,Southampton
1,3,Miss,female,5,19.2583,Unknown,Cherbourg
1,1,Officer,male,52,30.5,C,Southampton
0,2,Mr.,male,36,27.75,Unknown,Southampton
0,3,Mr.,male,40,19.9667,Unknown,Southampton
0,1,Mr.,male,30,27.75,C,Cherbourg
1,1,Mr.,male,49,89.1042,C,Cherbourg
0,3,Mr.,male,34,8.05,Unknown,Southampton
1,3,Mr.,male,29,7.8958,Unknown,Cherbourg
0,1,Mr.,male,65,26.55,E,Southampton
1,1,Mrs.,female,23,51.8625,D,Southampton
1,2,Miss,female,50,10.5,Unknown,Southampton
0,3,Mr.,male,26,7.75,Unknown,Queenstown
1,1,Mr.,male,48,26.55,E,Southampton
0,3,Mr.,male,34,8.05,Unknown,Southampton
0,1,Mr.,male,47,38.5,E,Southampton
0,2,Mr.,male,48,13,Unknown,Southampton
0,3,Mr.,male,25,8.05,Unknown,Southampton
0,3,Mr.,male,38,7.05,Unknown,Southampton
0,2,Mr.,male,17,0,Unknown,Southampton
0,1,Mr.,male,56,26.55,Unknown,Southampton
0,3,Mr.,male,37,7.725,Unknown,Queenstown
1,3,Miss,female,16,19.2583,Unknown,Cherbourg
0,3,Mr.,male,33,7.25,Unknown,Southampton
0,3,Mr.,male,38,8.6625,Unknown,Southampton
1,2,Mrs.,female,33,27.75,Unknown,Southampton
1,2,Mrs.,female,23,13.7917,D,Cherbourg
0,3,Miss,female,22,9.8375,Unknown,Southampton
0,1,Mr.,male,29,52,A,Southampton
0,2,Mr.,male,34,21,Unknown,Southampton
0,3,Mr.,male,29,7.0458,Unknown,Southampton
0,3,Mr.,male,22,7.5208,Unknown,Southampton
1,3,Miss,female,2,12.2875,Unknown,Southampton
0,3,Master,male,9,46.9,Unknown,Southampton
0,2,Mr.,male,28,0,Unknown,Southampton
0,3,Mr.,male,50,8.05,Unknown,Southampton
1,3,Mrs.,female,63,9.5875,Unknown,Southampton
1,1,Mr.,male,25,91.0792,B,Cherbourg
0,3,Miss,female,21,25.4667,Unknown,Southampton
1,1,Mrs.,female,35,90,C,Southampton
0,1,Mr.,male,58,29.7,B,Cherbourg
0,3,Mr.,male,30,8.05,Unknown,Southampton
1,3,Master,male,9,15.9,Unknown,Southampton
0,3,Mr.,male,17,19.9667,Unknown,Southampton
0,3,Mr.,male,21,7.25,Unknown,Southampton
0,1,Mr.,male,55,30.5,C,Southampton
0,1,Mr.,male,71,49.5042,Unknown,Cherbourg
0,3,Mr.,male,21,8.05,Unknown,Southampton
0,3,Mr.,male,26,14.4583,Unknown,Cherbourg
1,1,Miss,female,54,78.2667,D,Cherbourg
0,3,Mr.,male,24,15.1,Unknown,Southampton
0,1,Mrs.,female,25,151.55,C,Southampton
0,3,Mr.,male,24,7.7958,Unknown,Southampton
0,3,Mr.,male,17,8.6625,Unknown,Southampton
0,3,Miss,female,21,7.75,Unknown,Queenstown
0,3,Miss,female,23,7.6292,Unknown,Queenstown
0,3,Miss,female,37,9.5875,Unknown,Southampton
1,1,Miss,female,16,86.5,B,Southampton
0,1,Mr.,male,18,108.9,C,Cherbourg
1,2,Mrs.,female,33,26,Unknown,Southampton
1,1,Mr.,male,38,26.55,Unknown,Southampton
0,3,Mr.,male,28,22.525,Unknown,Southampton
1,3,Mr.,male,26,56.4958,Unknown,Southampton
1,3,Mr.,male,29,7.75,Unknown,Queenstown
0,3,Mr.,male,23,8.05,Unknown,Southampton
1,1,Mr.,male,36,26.2875,E,Southampton
1,1,Mrs.,female,54,59.4,Unknown,Cherbourg
0,3,Mr.,male,24,7.4958,Unknown,Southampton
0,1,Mr.,male,47,34.0208,D,Southampton
1,2,Mrs.,female,34,10.5,F,Southampton
0,3,Mr.,male,27,24.15,Unknown,Queenstown
1,2,Mrs.,female,36,26,Unknown,Southampton
0,3,Mr.,male,32,7.8958,Unknown,Southampton
1,1,Miss,female,30,93.5,B,Southampton
0,3,Mr.,male,22,7.8958,Unknown,Southampton
0,3,Mr.,male,31,7.225,Unknown,Cherbourg
1,1,Mrs.,female,44,57.9792,B,Cherbourg
